"AL.CODE","Spp","Sex","Age","RC","Day","Month","Year","Sampling Method","Source_St","Source_County"
2247,"LACI","M","Adult",NA,"2","5","2016","Turbine kills","WV","Greenbrier and Nicholas Counties"
1499,"LANO","M","A",NA,"06","10","2015","Turbine-killed","WV","Greenbrier and Nicholas Counties"
4813,"LACI","F","A","PL","11","9","2013","Turbine killed","PA",NA
4582,"LABO","M","A","NR","03","7","2016","Mist netting","MD","Washington"
4572,"LABO","M","A","NR","21","6","2017","Mist netting","MD","Allegany"
6793,"LABO","M","A","TD","23","9","2015","Live-caught (Harp trap)","MD",NA
134,"LABO","F","U",NA,NA,NA,"2010","Turbine","NY","--"
1500,"LANO","M","A",NA,"07","10","2015","Turbine-killed","WV","Greenbrier and Nicholas Counties"
6049,"LABO",NA,NA,NA,"22","5","2016","Turbine killed","OH","Paulding"
4587,"LABO","M","A","TD","10","7","2017","Mist netting","MD","Carroll"
1163,"LABO","F",NA,NA,"19","7","2015","Turbine-killed","IL",NA
1506,"LABO","M","A",NA,"21","9","2015","Turbine-killed","WV","Greenbrier and Nicholas Counties"
6735,"LACI","F",NA,NA,"25","8","2009","Turbine-killed","NY",NA
4571,"LABO","M","A","NR","21","6","2017","Mist netting","MD","Allegany"
6863,"LANO","M","A","NR","12","5","2015","LIVE-CAUGHT","MD","Allegany"
6771,"LABO","M","J","NR","24","7","2015","Live-caught (Mist net)","DE",NA
1365,"LABO","M","A",NA,"30","7","2015","Turbine-killed","MD","Garrett"
1507,"LABO","M","A",NA,"14","9","2015","Turbine-killed","WV","Greenbrier and Nicholas Counties"
6739,"LACI","U",NA,NA,"22","8","2009","Turbine-killed","NY",NA
4567,"LABO","F","A","NR","19","6","2017","Mist netting","MD","Allegany"
1373,"LABO","M","A",NA,"22","9","2015","Turbine-killed","MD","Garrett"
2819,"LANO",NA,NA,NA,"21","8","2013","Turbine-killed","ID",NA
6741,"LACI","U",NA,NA,"21","8","2009","Turbine-killed","NY",NA
4563,"LABO","M","A","NR","08","6","2017","Mist netting","MD","Allegany"
6864,"LANO","M","A","NR","12","5","2015","LIVE-CAUGHT","MD","Allegany"
6770,"LABO","F","A","PL","22","7","2015","Live-caught (Mist net)","DE",NA
1494,"LANO","M","A",NA,"15","9","2015","Turbine-killed","WV","Greenbrier and Nicholas Counties"
2851,"LANO",NA,"A",NA,"19","7","2012","Turbine-killed","ID",NA
6742,"LACI","F",NA,NA,"25","8","2009","Turbine-killed","NY",NA
1496,"LANO","M","A",NA,"06","10","2015","Turbine-killed","WV","Greenbrier and Nicholas Counties"
3143,"LANO","F","A",NA,"10","10","2013","Turbine-killed","ID",NA
4633,"LABO","M","J","NR","08","8","2017","Mist netting","MD","Washington"
6825,"LABO","M","A","TD","25","07","2017","Mist netting","MD","Garrett"
6791,"LABO","F","J","NR","23","9","2015","Live-caught (Harp trap)","MD",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1498,"LANO","F","A",NA,"07","10","2015","Turbine-killed","WV","Greenbrier and Nicholas Counties"
4794,"LACI","M","A","SCR","17","9","2013","Turbine killed","PA",NA
4619,"LACI","M","J","NR","24","7","2017","Mist netting","MD","Garrett"
1162,"LABO",NA,NA,NA,"21","7","2015","Turbine-killed","IL",NA
1226,"LACI","F",NA,NA,"10","8","2015","Turbine-killed","IL",NA
2864,"LANO","F","J",NA,"3","7","2013","Turbine-killed","ID",NA
2944,"LANO","F","A",NA,"2","7","2012","Turbine-killed","ID",NA
6503,"LACI",NA,NA,NA,"1","8","2018","Turbine killed","IL",NA
6733,"LACI","U",NA,NA,"14","8","2009","Turbine-killed","NY",NA
1169,"LABO","M",NA,NA,"9","8","2015","Turbine-killed","IL",NA
1227,"LACI","M",NA,NA,"6","8","2015","Turbine-killed","IL",NA
2882,"LANO","M","J",NA,"26","9","2012","Turbine-killed","ID",NA
2995,"LANO","M","A",NA,"9","9","2013","Turbine-killed","ID",NA
6569,"LANO","F",NA,NA,"3","8","2014","DOH: 14-355 Decomposed, skull crushed","RI","Providence"
