Sample Name,AL.CODE,IDType,sampleType,notes
134,134,AL.CODE,extractedDNA,
1162,1162,AL.CODE,extractedDNA,
1163,1163,AL.CODE,extractedDNA,
1169,1169,AL.CODE,extractedDNA,
1170,1170,AL.CODE,extractedDNA,
1171,1171,AL.CODE,extractedDNA,
1177,1177,AL.CODE,extractedDNA,
1178,1178,AL.CODE,extractedDNA,
1180,1180,AL.CODE,extractedDNA,
1221,1221,AL.CODE,extractedDNA,
1226,1226,AL.CODE,extractedDNA,
1227,1227,AL.CODE,extractedDNA,
1228,1228,AL.CODE,extractedDNA,
1238,1238,AL.CODE,extractedDNA,
1243,1243,AL.CODE,extractedDNA,
1244,1244,AL.CODE,extractedDNA,
1245,1245,AL.CODE,extractedDNA,
1365,1365,AL.CODE,extractedDNA,
1373,1373,AL.CODE,extractedDNA,
1494,1494,AL.CODE,extractedDNA,
1496,1496,AL.CODE,extractedDNA,
1497,1497,AL.CODE,extractedDNA,
1498,1498,AL.CODE,extractedDNA,
1499,1499,AL.CODE,extractedDNA,
1500,1500,AL.CODE,extractedDNA,
1503,1503,AL.CODE,extractedDNA,
1505,1505,AL.CODE,extractedDNA,
1506,1506,AL.CODE,extractedDNA,
1507,1507,AL.CODE,extractedDNA,
2819,2819,AL.CODE,extractedDNA,
2851,2851,AL.CODE,extractedDNA,
2864,2864,AL.CODE,extractedDNA,
2882,2882,AL.CODE,extractedDNA,
2895,2895,AL.CODE,extractedDNA,
2907,2907,AL.CODE,extractedDNA,
2918,2918,AL.CODE,extractedDNA,
2919,2919,AL.CODE,extractedDNA,
2940,2940,AL.CODE,extractedDNA,
2941,2941,AL.CODE,extractedDNA,
2944,2944,AL.CODE,extractedDNA,
2951,2951,AL.CODE,extractedDNA,
2952,2952,AL.CODE,extractedDNA,
2958,2958,AL.CODE,extractedDNA,
2995,2995,AL.CODE,extractedDNA,
3022,3022,AL.CODE,extractedDNA,
3060,3060,AL.CODE,extractedDNA,
3125,3125,AL.CODE,extractedDNA,
3143,3143,AL.CODE,extractedDNA,
3160,3160,AL.CODE,extractedDNA,
4790,4790,AL.CODE,extractedDNA,
4794,4794,AL.CODE,extractedDNA,
4797,4797,AL.CODE,extractedDNA,
4799,4799,AL.CODE,extractedDNA,
4804,4804,AL.CODE,extractedDNA,
4805,4805,AL.CODE,extractedDNA,
4806,4806,AL.CODE,extractedDNA,
4812,4812,AL.CODE,extractedDNA,
4813,4813,AL.CODE,extractedDNA,
5356,5356,AL.CODE,extractedDNA,
5611,5611,AL.CODE,extractedDNA,
5630,5630,AL.CODE,extractedDNA,
5631,5631,AL.CODE,extractedDNA,
5632,5632,AL.CODE,extractedDNA,
5633,5633,AL.CODE,extractedDNA,
6049,6049,AL.CODE,extractedDNA,
6451,6451,AL.CODE,extractedDNA,
6489,6489,AL.CODE,extractedDNA,
6503,6503,AL.CODE,extractedDNA,
6569,6569,AL.CODE,extractedDNA,
6727,6727,AL.CODE,extractedDNA,
6728,6728,AL.CODE,extractedDNA,
6729,6729,AL.CODE,extractedDNA,
6730,6730,AL.CODE,extractedDNA,
6731,6731,AL.CODE,extractedDNA,
6732,6732,AL.CODE,extractedDNA,
6733,6733,AL.CODE,extractedDNA,
6734,6734,AL.CODE,extractedDNA,
6735,6735,AL.CODE,extractedDNA,
6737,6737,AL.CODE,extractedDNA,
6738,6738,AL.CODE,extractedDNA,
6739,6739,AL.CODE,extractedDNA,
6740,6740,AL.CODE,extractedDNA,
6741,6741,AL.CODE,extractedDNA,
6742,6742,AL.CODE,extractedDNA,
6744,6744,AL.CODE,extractedDNA,
A1,4633,AL.CODE,swab_skin,
A10,4619,AL.CODE,swab_fur,
A11,4572,AL.CODE,swab_fur,
A12,4587,AL.CODE,swab_skin,
A13,6863,AL.CODE,swab_fur,
A14,6863,AL.CODE,swab_skin,
A15,6864,AL.CODE,swab_skin,
A16,6864,AL.CODE,swab_fur,
A17,6791,AL.CODE,swab_fur,
A18,6791,AL.CODE,swab_skin,
A19,6793,AL.CODE,swab_skin,
A2,4633,AL.CODE,swab_fur,
A20,6793,AL.CODE,swab_fur,
A21,6771,AL.CODE,swab_fur,
A22,6771,AL.CODE,swab_skin,
A23,6770,AL.CODE,swab_skin,
A24,6770,AL.CODE,swab_fur,
A3,4582,AL.CODE,swab_fur,
A4,4587,AL.CODE,swab_skin,
A5,4571,AL.CODE,swab_fur,
A6,4567,AL.CODE,swab_skin,
A7,4563,AL.CODE,swab_fur,
A8,4563,AL.CODE,swab_skin,
A9,6825,AL.CODE,swab_fur,
IN_145,342,AL.CODE,extractedDNA,
IN_178,445,AL.CODE,extractedDNA,
IN_185,220,AL.CODE,extractedDNA,
IN_192,322,AL.CODE,extractedDNA,
IN_212,473,AL.CODE,extractedDNA,
IN_228,490,AL.CODE,extractedDNA,
IN_246,510,AL.CODE,extractedDNA,
IN_263,539,AL.CODE,extractedDNA,
IN_265,541,AL.CODE,extractedDNA,
IN_266,542,AL.CODE,extractedDNA,
IN_267,543,AL.CODE,extractedDNA,
IN_269,545,AL.CODE,extractedDNA,
IN_316,680,AL.CODE,extractedDNA,
IN_320,684,AL.CODE,extractedDNA,
IN_338,693,AL.CODE,extractedDNA,
IN_350,558,AL.CODE,extractedDNA,
IN_356,564,AL.CODE,extractedDNA,
IN_360,572,AL.CODE,extractedDNA,
IN_386,621,AL.CODE,extractedDNA,
IN_392,557,AL.CODE,extractedDNA,
IN_69,288,AL.CODE,extractedDNA,
IN_80,302,AL.CODE,extractedDNA,
NC,NA,control,negControl,
Pd_PC,NA,control,posControl,
T43,1229,AL.CODE,extractedDNA,
T44,1241,AL.CODE,extractedDNA,
TBD,2247,AL.CODE,extractedDNA,
B1,6767,AL.CODE,swab_skin,
B2,4619,AL.CODE,swab_skin,
B3,4634,AL.CODE,swab_skin,
B4,4630,AL.CODE,swab_fur,
B5,4622,AL.CODE,swab_fur,
B6,4639,AL.CODE,swab_skin,
B7,4622,AL.CODE,swab_fur,
B8,4599,AL.CODE,swab_fur,
B9,4599,AL.CODE,swab_skin,
B10,4633,AL.CODE,swab_skin,
B11,4559,AL.CODE,swab_skin,
B12,4559,AL.CODE,swab_fur,
B13,4632,AL.CODE,swab_skin,
B14,4628,AL.CODE,swab_skin,
B15,4573,AL.CODE,swab_fur,
B16,4573,AL.CODE,swab_skin,
B17,4622,AL.CODE,swab_skin,
B18,4582,AL.CODE,swab_skin,
B19,4578,AL.CODE,swab_fur,
B20,4578,AL.CODE,swab_skin,
B21,4565,AL.CODE,swab_fur,
B22,2797,AL.CODE,swab_skin,
B23,2857,AL.CODE,swab_skin,
B24,2862,AL.CODE,swab_skin,
B25,2866,AL.CODE,swab_skin,
B26,2869,AL.CODE,swab_skin,
B27,2871,AL.CODE,swab_skin,
B28,2872,AL.CODE,swab_skin,
B29,2881,AL.CODE,swab_skin,
B30,2888,AL.CODE,swab_skin,
B31,2891,AL.CODE,swab_skin,
B32,2894,AL.CODE,swab_skin,
B33,2897,AL.CODE,swab_skin,
B34,2899,AL.CODE,swab_skin,
B35,2900,AL.CODE,swab_skin,
B36,2917,AL.CODE,swab_skin,
B37,2920,AL.CODE,swab_skin,
B38,2931,AL.CODE,swab_skin,
B39,2935,AL.CODE,swab_skin,
B40,2946,AL.CODE,swab_skin,
B41,2947,AL.CODE,swab_skin,
B42,2957,AL.CODE,swab_skin,
B43,2960,AL.CODE,swab_skin,
B44,2962,AL.CODE,swab_skin,
B45,4607,AL.CODE,swab_fur,
B46,4578,AL.CODE,swab_fur,
B47,4616,AL.CODE,swab_fur,
B48,4616,AL.CODE,swab_skin,
B49,4607,AL.CODE,swab_skin,
B50,6825,AL.CODE,swab_skin,
B51,4599,AL.CODE,swab_skin,
B52,4599,AL.CODE,swab_fur,
B53,4584,AL.CODE,swab_skin,
B54,4582,AL.CODE,swab_fur,
B55,4580,AL.CODE,swab_skin,
B56,4580,AL.CODE,swab_fur,
B57,6854,AL.CODE,swab_skin,
B58,6854,AL.CODE,swab_fur,
B59,4576,AL.CODE,swab_skin,
B60,4576,AL.CODE,swab_fur,
B61,4575,AL.CODE,swab_fur,
B62,4575,AL.CODE,swab_skin,
B63,4572,AL.CODE,swab_skin,
B64,4571,AL.CODE,swab_skin,
B65,4569,AL.CODE,swab_fur,AL CODE corrected 9/2/19 based on real tube ID
B66,4569,AL.CODE,swab_skin,AL CODE corrected 9/2/19 based on real tube ID
B67,4568,AL.CODE,swab_fur,
B68,4567,AL.CODE,swab_fur,
B69,4564,AL.CODE,swab_skin,
B70,4564,AL.CODE,swab_fur,
B71,4563,AL.CODE,swab_skin,
B72,6861,AL.CODE,swab_skin,
6436,6436,AL.CODE,extractedDNA,
6512,6512,AL.CODE,extractedDNA,
5840,5840,AL.CODE,extractedDNA,
5841,5841,AL.CODE,extractedDNA,
6746,6746,AL.CODE,extractedDNA,
6747,6747,AL.CODE,extractedDNA,
6748,6748,AL.CODE,extractedDNA,
6750,6750,AL.CODE,extractedDNA,
6751,6751,AL.CODE,extractedDNA,
6752,6752,AL.CODE,extractedDNA,
6755,6755,AL.CODE,extractedDNA,
6756,6756,AL.CODE,extractedDNA,
6757,6757,AL.CODE,extractedDNA,
6763,6763,AL.CODE,extractedDNA,
6764,6764,AL.CODE,extractedDNA,
2797,2797,AL.CODE,extractedDNA,
2857,2857,AL.CODE,extractedDNA,
2862,2862,AL.CODE,extractedDNA,
2866,2866,AL.CODE,extractedDNA,
2869,2869,AL.CODE,extractedDNA,
2871,2871,AL.CODE,extractedDNA,
2872,2872,AL.CODE,extractedDNA,
2881,2881,AL.CODE,extractedDNA,
2888,2888,AL.CODE,extractedDNA,
2891,2891,AL.CODE,extractedDNA,
2894,2894,AL.CODE,extractedDNA,
2897,2897,AL.CODE,extractedDNA,
2899,2899,AL.CODE,extractedDNA,
2900,2900,AL.CODE,extractedDNA,
2917,2917,AL.CODE,extractedDNA,
2920,2920,AL.CODE,extractedDNA,
2931,2931,AL.CODE,extractedDNA,
2935,2935,AL.CODE,extractedDNA,
2946,2946,AL.CODE,extractedDNA,
2947,2947,AL.CODE,extractedDNA,
2957,2957,AL.CODE,extractedDNA,
2960,2960,AL.CODE,extractedDNA,
2962,2962,AL.CODE,extractedDNA,
1484,1484,AL.CODE,extractedDNA,
1479,1479,AL.CODE,extractedDNA,
1487,1487,AL.CODE,extractedDNA,
1483,1483,AL.CODE,extractedDNA,
1482,1482,AL.CODE,extractedDNA,
1492,1492,AL.CODE,extractedDNA,
1485,1485,AL.CODE,extractedDNA,
277,277,AL.CODE,extractedDNA,
371,371,AL.CODE,extractedDNA,
1420,1420,AL.CODE,extractedDNA,
483,483,AL.CODE,extractedDNA,
1489,1489,AL.CODE,extractedDNA,
709,709,AL.CODE,extractedDNA,
712,712,AL.CODE,extractedDNA,
1499,1499,AL.CODE,extractedDNA,
1500,1500,AL.CODE,extractedDNA,
1498,1498,AL.CODE,extractedDNA,
731,731,AL.CODE,extractedDNA,
732,732,AL.CODE,extractedDNA,
733,733,AL.CODE,extractedDNA,
735,735,AL.CODE,extractedDNA,
736,736,AL.CODE,extractedDNA,
737,737,AL.CODE,extractedDNA,
746,746,AL.CODE,extractedDNA,
747,747,AL.CODE,extractedDNA,
748,748,AL.CODE,extractedDNA,
749,749,AL.CODE,extractedDNA,
750,750,AL.CODE,extractedDNA,
751,751,AL.CODE,extractedDNA,
752,752,AL.CODE,extractedDNA,
753,753,AL.CODE,extractedDNA,
754,754,AL.CODE,extractedDNA,
774,774,AL.CODE,extractedDNA,
800,800,AL.CODE,extractedDNA,
819,819,AL.CODE,extractedDNA,
820,820,AL.CODE,extractedDNA,
2969,2969,AL.CODE,extractedDNA,
2972,2972,AL.CODE,extractedDNA,
2996,2996,AL.CODE,extractedDNA,
2997,2997,AL.CODE,extractedDNA,
3011,3011,AL.CODE,extractedDNA,
3015,3015,AL.CODE,extractedDNA,
3058,3058,AL.CODE,extractedDNA,
3070,3070,AL.CODE,extractedDNA,
3138,3138,AL.CODE,extractedDNA,
3245,3245,AL.CODE,extractedDNA,
3274,3274,AL.CODE,extractedDNA,
C9,281,AL.CODE,extractedDNA,
C11,280,AL.CODE,extractedDNA,
C98,335,AL.CODE,extractedDNA,
C101,333,AL.CODE,extractedDNA,
C103,282,AL.CODE,extractedDNA,
C104,276,AL.CODE,extractedDNA,
C105,284,AL.CODE,extractedDNA,
C106,278,AL.CODE,extractedDNA,
C109,275,AL.CODE,extractedDNA,
C111,334,AL.CODE,extractedDNA,
C113,330,AL.CODE,extractedDNA,
C114,329,AL.CODE,extractedDNA,
C118,331,AL.CODE,extractedDNA,
C120,326,AL.CODE,extractedDNA,
C121,279,AL.CODE,extractedDNA,
C122,332,AL.CODE,extractedDNA,
C124,283,AL.CODE,extractedDNA,
C126,328,AL.CODE,extractedDNA,
C128,327,AL.CODE,extractedDNA,
C152,373,AL.CODE,extractedDNA,
C153,372,AL.CODE,extractedDNA,
C160,415,AL.CODE,extractedDNA,
C191,277,AL.CODE,extractedDNA,
C222,483,AL.CODE,extractedDNA,
C285,646,AL.CODE,extractedDNA,
C314,677,AL.CODE,extractedDNA,
C344,699,AL.CODE,extractedDNA,
C345,700,AL.CODE,extractedDNA,
C387,628,AL.CODE,extractedDNA,
C388,630,AL.CODE,extractedDNA,
D181,4006,AL.CODE,extractedDNA,
D182,4071,AL.CODE,extractedDNA,
D183,4149,AL.CODE,extractedDNA,
D184,4146,AL.CODE,extractedDNA,
D231,3972,AL.CODE,extractedDNA,
D232,4076,AL.CODE,extractedDNA,
D285,3908,AL.CODE,extractedDNA,
D286,3888,AL.CODE,extractedDNA,
D288,3825,AL.CODE,extractedDNA,
D290,3886,AL.CODE,extractedDNA,
D293,3867,AL.CODE,extractedDNA,
D294,3893,AL.CODE,extractedDNA,
D321,3835,AL.CODE,extractedDNA,
D322,3823,AL.CODE,extractedDNA,
